TYPE,TYPE_CLASS,LABEL_ID,CHANGE_INTERVAL,LAYER_NAME,DESCRIPTION_ID,HIDDEN,BASE_TYPE,CODE_LIST_TYPE,IS_QUICK_LINK,PROP_TBL_NAME,BASE_TBL_NAME,TAG_TBL_NAME,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ADHOC_REPORT,ITEM,TYPE.ADHOC_REPORT,NULL,AVM,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:27:35.013,69b9ca50425846da8bc1835d1c1c92b3,NULL,bd91a42dcdc74dd2af31861c208e3f18,NULL,NULL
ANALYSIS_POINT,ITEM,TYPE.ANALYSIS_POINT,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,e112638416be4590a7d232e824f750dc,NULL,2dc2b6bda35f49b690c11927e4b9b854,NULL,NULL
APP_SRV,ITEM,TYPE.APP_SRV,NULL,AVM,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:27:35.013,2534720d50eb4db495744ef179d3e412,NULL,3e3fb857d5394249be0935eb6651df14,NULL,NULL
BATTERY,ITEM,TYPE.BATTERY,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,aa62699623f24ab98ffe9cf9dab9dba3,NULL,5b5352a3d3a044e1b650868ccd83db66,NULL,NULL
BORE,ITEM,TYPE.BORE,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,ddcfaa136e3c4cfab8c2aa44bedbdd4b,NULL,3d6d889cc4fc46f0b8bd28a65aed948a,NULL,NULL
CHEM_INJ_POINT,ITEM,TYPE.CHEM_INJ_POINT,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,fa381fd1f2ca40d5841ae34625616748,NULL,5cd916b78f89458680e51a9667a93c1f,NULL,NULL
CHEMICAL,ITEM,TYPE.CHEMICAL,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,0b0cb4bf2e9543c3b6d7151a874f1d15,NULL,69d44f70e35c44309eabaa80374a55e8,NULL,NULL
COMPANY,ITEM,TYPE.COMPANY,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,c254d4903e3f4df0af577998680cb00e,NULL,3621a0569bae4a43a0cb594e9440e242,NULL,NULL
COMPLETION,ITEM,TYPE.COMPLETION,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,de9aa6f7b44d4633a4f8dc892b414346,NULL,29bb60b76d41423bbdb4ca4b6e3fe740,NULL,NULL
COMPRESSOR,ITEM,TYPE.COMPRESSOR,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,2cc3a68bf5704e47a86c06476858f0eb,NULL,6526f7f3f5dd4c5a833054bcc43a88c1,NULL,NULL
CONTACT,ITEM,TYPE.CONTACT,NULL,OG_STD,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,dd96a1633d744c00ab7ffb7a86e77008,NULL,1f3fbd4c556841838d9b6811e902faa2,NULL,NULL
COUNTER_METER,ITEM,TYPE.COUNTER_METER,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,53ce47f18aa141899bb6b6c26b81a907,NULL,50263011023e41048b467a87f57d41d1,NULL,NULL
