LAYER_NAME,LAYER_LEVEL,LAYER_ORDER,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
AVM,0,0,system,2013-08-08 18:29:19.580,C581BD36F7D64BB68B6CF68DA106B0DB,NULL,03ecc42d52f34304a5301877ba02,NULL,NULL
MaerskKZ,3,3,system,2013-08-10 15:32:44.810,4FD70769DD39425EA2EFFA725611B184,NULL,03ecc42d52f34304a573ce301877ba02,NULL,NULL
OG_STD,2,2,system,2013-08-08 18:29:26.333,DA92924FDC964087ACFA493D319BFAF9,NULL,6236607bb1ac49de8878f9991bb725bc,NULL,NULL
UnitSystem_Metric,1,1,system,2013-08-08 18:29:25.323,F56F8D76DB43434483DB399A8BDF370F,NULL,f9c0f3afebf9470ca0d278ac6737ce15,NULL,NULL
