TYPE,PROPERTY_NAME,PROP_GRP,PROP_GRP_PRNT,LABEL_ID,TABLE_NAME,COLUMN_NAME,PROPERTY_TYPE,PROPERTY_CLASS,UNICODE,CODE_LIST,CODE_LIST_FLTR,CODE_LIST_LVL,PARENT_CL_PROP,VALUE_FILTER,UI_EDIT_CLASS,SORT_ORDER,MANDATORY,HIDDEN,IS_KEY,LENGTH,DECIMALS,UOM,CHANGE_INTERVAL,DEFAULT_VALUE,LAYER_NAME,DESCRIPTION_ID,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID,PROP_UNIQUE,ALLOW_MULTI_EDIT,DEF_ACCUM_FUNC
ACTUAL,ALLOCATOR,NULL,NULL,TYPE.ACTUAL.ALLOCATOR,NULL,ALLOCATOR,ITEM,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,3,TRUE,FALSE,TRUE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,834de4dbaff5401dbdb275fb6190a586,NULL,60bf272987194a2585615e7243f784de,NULL,NULL,NULL,NULL,NULL
ACTUAL,CREATE_SOURCE,NULL,NULL,TYPE.ACTUAL.CREATE_SOURCE,NULL,CREATE_SOURCE,CODE,NULL,FALSE,SOURCE_TYPE,NULL,NULL,NULL,NULL,NULL,1011,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,f93bd4c11c924668b37f0b11bc4de04b,NULL,bfac727075934ffd842c3da33c88f39e,NULL,NULL,NULL,NULL,NULL
ACTUAL,DB_ID,NULL,NULL,TYPE.ACTUAL.DB_ID,NULL,DB_ID,GUID,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,1009,FALSE,TRUE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,f9d3a2dec3a4416d83730476cd58c33d,NULL,73845d76166842e48cbed3ed73acd505,NULL,NULL,NULL,NULL,NULL
ACTUAL,END_DATETIME,NULL,NULL,TYPE.ACTUAL.END_DATETIME,NULL,END_DATETIME,DATETIME,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,1004,FALSE,TRUE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,a694590e450243d49e207de48b71e5fd,NULL,d890b00a07684c16b1d617863e65a615,NULL,NULL,NULL,NULL,NULL
ACTUAL,EST_GAS_EGY,NULL,NULL,TYPE.ACTUAL.EST_GAS_EGY,NULL,EST_GAS_EGY,NUMBER,GAS_ENERGY,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,21,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,6fb50b83b1a841b888cee74438d7af1e,NULL,773dd1f1b0cd4fdabca9fbd9c901f719,NULL,NULL,NULL,NULL,NULL
ACTUAL,EST_GAS_FRM_VOL,NULL,NULL,TYPE.ACTUAL.EST_GAS_FRM_VOL,NULL,EST_GAS_FRM_VOL,NUMBER,GAS_VOL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,51,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,b5ab32cec7724db58fa54af220c0578d,NULL,b2448712950947c49a7b4ec177f6f99b,NULL,NULL,NULL,NULL,NULL
ACTUAL,EST_GAS_LFT_VOL,NULL,NULL,TYPE.ACTUAL.EST_GAS_LFT_VOL,NULL,EST_GAS_LFT_VOL,NUMBER,GAS_VOL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,50,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,6ac70f24be2c4ddaa27de42eaf65bb53,NULL,7a2af23c16074d589f0de82928d68cfc,NULL,NULL,NULL,NULL,NULL
ACTUAL,EST_LIQ_EGY,NULL,NULL,TYPE.ACTUAL.EST_LIQ_EGY,NULL,EST_LIQ_EGY,NUMBER,ENERGY,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,11,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,e3cbe2a2efaf4ecb812e7fe08d8b326c,NULL,68f10d311cc648d48cb301e271d2ac60,NULL,NULL,NULL,NULL,NULL
ACTUAL,EST_LIQ_MASS,NULL,NULL,TYPE.ACTUAL.EST_LIQ_MASS,NULL,EST_LIQ_MASS,NUMBER,LIQUID_MASS,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,12,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,96b6b71f30324da1bf525545c3fb4806,NULL,6af866fff37149ca83b4fd2f4b43f492,NULL,NULL,NULL,NULL,NULL
ACTUAL,EVENT_TYPE,NULL,NULL,TYPE.ACTUAL.EVENT_TYPE,NULL,EVENT_TYPE,TEXT,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,1000,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,STD,NULL,NULL,28:30.7,4f91ec79ed31497786b3fba9c6035cfd,NULL,82225c5510694b119a28a5c0188422a0,NULL,NULL,NULL,NULL,NULL
