CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ru-RU,TYPE.CONTACT.ADDRESS_2,[ru-RU] Address 2,[ru-RU] Address 2,STD,FALSE,NULL,27:52.1,df2491f313f6401b9a69fe7efdc673d1,NULL,1df1d8e130124191ba3ccfbf93ead978,NULL,NULL
ru-RU,TYPE.CONTACT.COMPANY_NAME,Название компании,[ru-RU] Company Name,STD,FALSE,SYSTEM,56:00.2,7185d3242d0747e0bd557984a6aae490,NULL,0c07fdf0b00f4de8a578a20679453e2e,NULL,NULL
en-US,TYPE.CONTACT.COMPANY_NAME,Company Name,Company Name,STD,FALSE,NULL,27:52.1,7057f325ef614105a4fdc79dcf7848f5,NULL,64286155db78420cb6748cb66d2e7bb4,NULL,NULL
en-US,TYPE.CONTACT.DATA_STATUS,Data Status,Data Status,STD,FALSE,NULL,27:52.1,53cd1b69a7a0421da969da487c14ec09,NULL,40839eb4ae05442f97e85a23aba46b86,NULL,NULL
ru-RU,TYPE.CONTACT.DATA_STATUS,Статус данных,[ru-RU] Data Status,STD,FALSE,SYSTEM,56:00.2,34283f21a15d4fcd80740ae03d1aafbb,NULL,5a701f71b8b04d018161ff1fcebc8cc7,NULL,NULL
ru-RU,TYPE.CONTACT.EMAIL,[ru-RU] Contact Email,[ru-RU] Contact Email,STD,FALSE,NULL,27:52.1,1339185a78964910aeb4387fa58e1a47,NULL,8e7f2e42932841709880c5c6f11f2547,NULL,NULL
en-US,TYPE.CONTACT.EMAIL,Contact Email,Contact Email,STD,FALSE,NULL,27:52.1,f2ae61675cfd4a72b0f1a402575f3b8c,NULL,d8b308f01b4040fc932c0466fcc17aeb,NULL,NULL
en-US,TYPE.CONTACT.FAX,Contact Fax,Contact Fax,STD,FALSE,NULL,27:52.1,5bc30b7475ad4cc1853fdd2cf3a83890,NULL,8d66732feeed411abb5f3a5da01bbdfd,NULL,NULL
ru-RU,TYPE.CONTACT.FAX,[ru-RU] Contact Fax,[ru-RU] Contact Fax,STD,FALSE,NULL,27:52.1,4e2c4dae0fd94a04aeacae9daf8c780a,NULL,3a20f7c6d87342878d9b049895366b8b,NULL,NULL
ru-RU,TYPE.CONTACT.NAME,[ru-RU] Contact Name,[ru-RU] Contact Name,STD,FALSE,NULL,27:52.1,db90950dbfe14651ab9e37455a03ccfa,NULL,ecfdf791c44344ef9a76608377a68a6a,NULL,NULL
en-US,TYPE.CONTACT.NAME,Contact Name,Contact Name,STD,FALSE,NULL,27:52.1,9d4e881fde064cf28b18d2daf569af63,NULL,b97e6095ef4542d491e0ea07a897f8aa,NULL,NULL
